id	num
SoyZH13_17G000001	281
SoyZH13_17G000002	290
SoyZH13_17G000003	374
SoyZH13_17G000004	394
SoyZH13_17G000005	437
SoyZH13_17G209001	564
SoyZH13_17G001500	572
SoyZH13_tRNA_0647	602
SoyZH13_17G001900	619
SoyZH13_17G023100	619
SoyZH13_17G023000	620
SoyZH13_17G023200	621
SoyZH13_17G001800	624
SoyZH13_17G000006	641
SoyZH13_snoRNA_1485	661
SoyZH13_17G023900	669
SoyZH13_17G000500	676
SoyZH13_17G002000	687
SoyZH13_17G023600	696
SoyZH13_17G001700	697
SoyZH13_17G023800	697
SoyZH13_17G023700	700
SoyZH13_17G117400	712
SoyZH13_17G002100	713
SoyZH13_snoRNA_1429	716
SoyZH13_17G001300	720
SoyZH13_17G023400	722
SoyZH13_17G001200	730
SoyZH13_17G024200	732
SoyZH13_17G023500	736
SoyZH13_17G000700	739
SoyZH13_snoRNA_1449	739
SoyZH13_17G024100	740
SoyZH13_17G008002	745
SoyZH13_17G023300	745
SoyZH13_17G002200	746
SoyZH13_17G022900	746
SoyZH13_snoRNA_1455	746
SoyZH13_17G020800	748
SoyZH13_17G209300	760
SoyZH13_tRNA_0639	763
SoyZH13_17G113500	767
SoyZH13_17G113900	767
SoyZH13_17G021000	768
SoyZH13_17G209100	772
SoyZH13_17G209200	772
SoyZH13_17G001100	777
SoyZH13_17G008001	779
SoyZH13_17G020900	779
SoyZH13_17G113400	782
SoyZH13_17G024501	783
SoyZH13_17G074100	785
SoyZH13_17G008400	790
SoyZH13_17G000800	792
SoyZH13_17G008500	792
SoyZH13_17G074400	793
SoyZH13_17G021100	794
SoyZH13_17G007900	795
SoyZH13_17G024300	795
SoyZH13_17G020700	796
SoyZH13_17G117300	796
SoyZH13_17G043300	797
SoyZH13_17G074300	799
SoyZH13_17G007800	800
SoyZH13_17G022800	803
SoyZH13_17G182801	803
SoyZH13_17G052800	805
SoyZH13_17G074200	805
SoyZH13_17G024600	806
SoyZH13_17G246400	806
SoyZH13_17G052700	808
SoyZH13_17G007602	813
SoyZH13_17G008300	813
SoyZH13_17G209400	813
SoyZH13_17G008800	814
SoyZH13_17G043101	814
SoyZH13_17G043400	816
SoyZH13_17G117100	817
SoyZH13_17G020500	820
SoyZH13_17G113800	821
SoyZH13_17G117700	824
SoyZH13_17G020400	826
SoyZH13_17G074000	830
SoyZH13_17G008000	834
SoyZH13_17G109000	834
SoyZH13_17G043000	838
SoyZH13_17G043100	838
SoyZH13_17G209000	839
SoyZH13_17G010300	841
SoyZH13_17G108300	841
SoyZH13_17G008700	842
SoyZH13_17G070900	842
SoyZH13_17G024500	843
SoyZH13_17G113700	843
SoyZH13_17G114000	843
SoyZH13_17G117000	844
SoyZH13_17G183000	844
SoyZH13_17G026200	848
SoyZH13_17G117600	848
SoyZH13_17G117200	850
SoyZH13_17G026100	851
SoyZH13_17G020600	852
SoyZH13_17G024400	852
SoyZH13_17G171401	854
SoyZH13_17G010400	855
SoyZH13_17G026000	856
SoyZH13_17G008600	857
SoyZH13_17G108500	858
SoyZH13_17G109100	858
SoyZH13_17G022600	859
SoyZH13_17G008900	860
SoyZH13_17G108400	860
SoyZH13_17G108800	860
SoyZH13_17G112601	861
SoyZH13_tRNA_0645	861
SoyZH13_17G031200	862
SoyZH13_17G025900	864
SoyZH13_17G109200	865
SoyZH13_17G007601	866
SoyZH13_17G010200	866
SoyZH13_17G073900	866
SoyZH13_17G246500	866
SoyZH13_17G042800	867
SoyZH13_17G108900	867
SoyZH13_17G071400	870
SoyZH13_17G113200	873
SoyZH13_17G112602	874
SoyZH13_17G059600	875
SoyZH13_17G071000	875
SoyZH13_17G043900	878
SoyZH13_17G024800	879
SoyZH13_17G031300	879
SoyZH13_17G022700	880
SoyZH13_17G067700	880
SoyZH13_17G050600	881
SoyZH13_17G103500	881
SoyZH13_17G050700	882
SoyZH13_17G052500	882
SoyZH13_17G208402	882
SoyZH13_17G071200	883
SoyZH13_17G010500	884
SoyZH13_17G117500	884
SoyZH13_17G031401	885
SoyZH13_17G109300	885
SoyZH13_17G071500	887
SoyZH13_17G026300	888
SoyZH13_17G001000	889
SoyZH13_17G114100	889
SoyZH13_17G007600	890
SoyZH13_17G025700	890
SoyZH13_17G103400	891
SoyZH13_17G024900	893
SoyZH13_17G049000	893
SoyZH13_snoRNA_1470	893
SoyZH13_17G067801	894
SoyZH13_17G074500	894
SoyZH13_17G120100	894
SoyZH13_17G059700	896
SoyZH13_17G011300	898
SoyZH13_17G066800	898
SoyZH13_17G066900	899
SoyZH13_17G062600	900
SoyZH13_17G116701	901
SoyZH13_17G050900	902
SoyZH13_17G106200	902
SoyZH13_17G183001	902
SoyZH13_17G025800	903
SoyZH13_17G043700	904
SoyZH13_17G020000	905
SoyZH13_17G025000	905
SoyZH13_17G099400	905
SoyZH13_17G112600	905
SoyZH13_17G030800	906
SoyZH13_17G066700	906
SoyZH13_17G067900	907
SoyZH13_17G073600	907
SoyZH13_17G026400	908
SoyZH13_17G099500	908
SoyZH13_17G009000	909
SoyZH13_17G009800	909
SoyZH13_17G011400	910
SoyZH13_17G043500	910
SoyZH13_17G108600	912
SoyZH13_17G014800	913
SoyZH13_17G070800	913
SoyZH13_17G108700	913
SoyZH13_17G025300	915
SoyZH13_17G067800	915
SoyZH13_17G071600	916
SoyZH13_17G025600	917
SoyZH13_17G106000	917
SoyZH13_17G022500	918
SoyZH13_17G031600	919
SoyZH13_17G067300	919
SoyZH13_17G031402	920
SoyZH13_17G044000	920
SoyZH13_17G099600	920
SoyZH13_17G103600	920
SoyZH13_17G024700	921
SoyZH13_17G062700	921
SoyZH13_17G116900	921
SoyZH13_17G020300	922
SoyZH13_17G022401	922
SoyZH13_17G246300	923
SoyZH13_17G063501	924
SoyZH13_17G105600	924
SoyZH13_17G062500	925
SoyZH13_17G011200	927
SoyZH13_17G060000	927
SoyZH13_17G106100	927
SoyZH13_17G183501	927
SoyZH13_17G020200	930
SoyZH13_17G031400	930
SoyZH13_17G070700	930
SoyZH13_17G036300	931
SoyZH13_17G099300	931
SoyZH13_17G009900	932
SoyZH13_17G019900	932
SoyZH13_17G246100	933
SoyZH13_17G021102	934
SoyZH13_17G116700	934
SoyZH13_17G011000	935
SoyZH13_17G036601	935
SoyZH13_17G116702	935
SoyZH13_17G175303	935
SoyZH13_17G010900	936
SoyZH13_17G074800	936
SoyZH13_17G099100	936
SoyZH13_17G030700	937
SoyZH13_17G048300	937
SoyZH13_17G011600	938
SoyZH13_17G048900	938
SoyZH13_17G063500	939
SoyZH13_17G063600	939
SoyZH13_17G073501	940
SoyZH13_17G096400	940
SoyZH13_tRNA_0644	941
SoyZH13_17G010600	942
SoyZH13_17G036200	943
SoyZH13_17G025001	944
SoyZH13_17G073500	945
SoyZH13_17G078300	945
SoyZH13_17G096501	945
SoyZH13_17G011100	946
SoyZH13_17G025200	946
SoyZH13_17G066201	946
SoyZH13_17G066600	946
SoyZH13_17G049100	947
SoyZH13_17G031000	948
SoyZH13_17G036701	948
SoyZH13_17G036400	950
SoyZH13_17G011700	951
SoyZH13_17G067000	951
SoyZH13_17G071700	951
SoyZH13_17G106300	951
SoyZH13_17G068601	952
SoyZH13_17G096500	953
SoyZH13_17G099700	953
SoyZH13_17G062800	954
SoyZH13_17G117900	954
SoyZH13_tRNA_0635	955
SoyZH13_17G034300	956
SoyZH13_17G067902	956
SoyZH13_17G073301	956
SoyZH13_17G175302	956
SoyZH13_17G060100	957
SoyZH13_17G246200	957
